time_s,speed_kmh
0,0
1,0.1
2,0.2
3,0.3
4,0.4
5,0.5
6,0.6
7,0.7
8,0.9
9,1.0
10,1.1
11,1.3
12,1.4
13,1.5
14,1.7
15,1.8
16,1.9
17,2.1
18,2.2
19,2.3
20,2.5
21,2.6
22,2.7
23,2.9
24,3.0
25,3.1
26,3.2
27,3.3
28,3.4
29,3.5
30,3.6
31,3.7
32,3.7
33,3.8
34,3.9
35,3.9
36,4.0
37,4.0
38,4.0
39,4.0
40,4.0
41,4.1
42,4.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,3.9
49,3.9
50,3.8
51,3.8
52,3.8
53,3.7
54,3.7
55,3.6
56,3.6
57,3.6
58,3.5
59,3.5
60,3.5
61,3.5
62,3.5
63,3.5
64,3.5
65,3.5
66,3.5
67,3.6
68,3.6
69,3.7
70,3.8
71,3.9
72,4.0
73,4.1
74,4.2
75,4.4
76,4.5
77,4.7
78,4.9
79,5.1
80,5.3
81,5.5
82,5.8
83,6.0
84,6.3
85,6.5
86,6.8
87,7.1
88,7.4
89,7.7
90,8.0
91,8.3
92,8.6
93,9.0
94,9.3
95,9.6
96,9.9
97,10.3
98,10.6
99,10.9
100,11.2
101,11.5
102,11.8
103,12.1
104,12.3
105,12.6
106,12.8
107,13.1
108,13.3
109,13.5
110,13.6
111,13.8
112,14.0
113,14.1
114,14.2
115,14.3
116,14.3
117,14.4
118,14.4
119,14.4
120,14.4
121,14.3
122,14.3
123,14.2
124,14.1
125,14.0
126,13.9
127,13.7
128,13.5
129,13.4
130,13.2
131,12.9
132,12.7
133,12.5
134,12.3
135,12.0
136,11.8
137,11.5
138,11.3
139,11.0
140,10.8
141,10.5
142,10.3
143,10.0
144,9.8
145,9.6
146,9.4
147,9.2
148,9.0
149,8.9
150,8.7
151,8.6
152,8.5
153,8.4
154,8.4
155,8.4
156,8.4
157,8.4
158,8.4
159,8.5
160,8.6
161,8.8
162,8.9
163,9.1
164,9.4
165,9.6
166,9.9
167,10.2
168,10.5
169,10.9
170,11.2
171,11.6
172,12.1
173,12.5
174,13.0
175,13.4
176,13.9
177,14.4
178,15.0
179,15.5
180,16.0
181,16.6
182,17.1
183,17.6
184,18.2
185,18.7
186,19.3
187,19.8
188,20.3
189,20.8
190,21.3
191,21.7
192,22.2
