time_s,speed_kmh
0,0
1,0.5
2,0.9
3,1.4
4,1.8
5,2.1
6,2.4
7,2.7
8,2.9
9,3.0
10,3.0
11,3.0
12,2.9
13,2.7
14,2.4
15,17.1
16,16.8
17,16.4
18,15.9
19,15.5
20,15.0
21,14.5
22,14.1
23,13.6
24,13.2
25,12.9
26,12.6
27,12.3
28,12.1
29,12.0
30,12.0
31,12.0
32,12.1
33,12.3
34,12.6
35,12.9
36,13.2
37,13.6
38,14.1
39,14.5
40,15.0
41,15.5
42,15.9
43,16.4
44,16.8
45,2.1
46,2.4
47,2.7
48,2.9
49,3.0
50,3.0
51,3.0
52,2.9
53,2.7
54,2.4
55,2.1
56,1.8
57,1.4
58,0.9
59,0.5
60,32.0
61,31.5
62,31.1
63,30.6
64,30.2
65,29.9
66,29.6
67,29.3
68,29.1
69,29.0
70,29.0
71,29.0
72,29.1
73,29.3
74,29.6
75,29.9
76,30.2
77,30.6
78,31.1
79,31.5
80,32.0
81,32.5
82,32.9
83,33.4
84,33.8
85,34.1
86,34.4
87,34.7
88,34.9
89,35.0
90,3.0
91,3.0
92,2.9
93,2.7
94,2.4
95,2.1
96,1.8
97,1.4
98,0.9
99,0.5
100,0.0
101,0
102,0
103,0
104,0
105,47.9
106,47.6
107,47.3
108,47.1
109,47.0
110,47.0
111,47.0
112,47.1
113,47.3
114,47.6
115,47.9
116,48.2
117,48.6
118,49.1
119,49.5
120,50.0
121,50.5
122,50.9
123,51.4
124,51.8
125,52.1
126,52.4
127,52.7
128,52.9
129,53.0
130,53.0
131,53.0
132,52.9
133,52.7
134,52.4
135,2.1
136,1.8
137,1.4
138,0.9
139,0.5
140,0.0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,32.0
151,32.0
152,32.1
153,32.3
154,32.6
155,32.9
156,33.2
157,33.6
158,34.1
159,34.5
160,35.0
161,35.5
162,35.9
163,36.4
164,36.8
165,37.1
166,37.4
167,37.7
168,37.9
169,38.0
170,38.0
171,38.0
172,37.9
173,37.7
174,37.4
175,37.1
176,36.8
177,36.4
178,35.9
179,35.5
180,0.0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0.5
197,0.9
198,1.4
199,1.8
200,2.1
201,2.4
202,2.7
203,2.9
204,3.0
205,3.0
206,3.0
207,2.9
208,2.7
209,2.4
210,17.1
211,16.8
212,16.4
213,15.9
214,15.5
215,15.0
216,14.5
217,14.1
218,13.6
219,13.2
220,12.9
221,12.6
222,12.3
223,12.1
224,12.0
225,12.0
226,12.0
227,12.1
228,12.3
229,12.6
230,12.9
231,13.2
232,13.6
233,14.1
234,14.5
235,15.0
236,15.5
237,15.9
238,16.4
239,16.8
240,2.1
241,2.4
242,2.7
243,2.9
244,3.0
245,3.0
246,3.0
247,2.9
248,2.7
249,2.4
250,2.1
251,1.8
252,1.4
253,0.9
254,0.5
255,32.0
256,31.5
257,31.1
258,30.6
259,30.2
260,29.9
261,29.6
262,29.3
263,29.1
264,29.0
265,29.0
266,29.0
267,29.1
268,29.3
269,29.6
270,29.9
271,30.2
272,30.6
273,31.1
274,31.5
275,32.0
276,32.5
277,32.9
278,33.4
279,33.8
280,34.1
281,34.4
282,34.7
283,34.9
284,35.0
285,3.0
286,3.0
287,2.9
288,2.7
289,2.4
290,2.1
291,1.8
292,1.4
293,0.9
294,0.5
295,0.0
296,0
297,0
298,0
299,0
300,47.9
301,47.6
302,47.3
303,47.1
304,47.0
305,47.0
306,47.0
307,47.1
308,47.3
309,47.6
310,47.9
311,48.2
312,48.6
313,49.1
314,49.5
315,50.0
316,50.5
317,50.9
318,51.4
319,51.8
320,52.1
321,52.4
322,52.7
323,52.9
324,53.0
325,53.0
326,53.0
327,52.9
328,52.7
329,52.4
330,2.1
331,1.8
332,1.4
333,0.9
334,0.5
335,0.0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,32.0
346,32.0
347,32.1
348,32.3
349,32.6
350,32.9
351,33.2
352,33.6
353,34.1
354,34.5
355,35.0
356,35.5
357,35.9
358,36.4
359,36.8
360,37.1
361,37.4
362,37.7
363,37.9
364,38.0
365,38.0
366,38.0
367,37.9
368,37.7
369,37.4
370,37.1
371,36.8
372,36.4
373,35.9
374,35.5
375,0.0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0.5
392,0.9
393,1.4
394,1.8
395,2.1
396,2.4
397,2.7
398,2.9
399,3.0
400,3.0
401,3.0
402,2.9
403,2.7
404,2.4
405,17.1
406,16.8
407,16.4
408,15.9
409,15.5
410,15.0
411,14.5
412,14.1
413,13.6
414,13.2
415,12.9
416,12.6
417,12.3
418,12.1
419,12.0
420,12.0
