time_s,speed_kmh
0,0
1,0.1
2,0.2
3,0.3
4,0.4
5,0.5
6,0.7
7,0.8
8,0.9
9,1.1
10,1.2
11,1.4
12,1.5
13,1.7
14,1.8
15,2.0
16,2.1
17,2.3
18,2.5
19,2.6
20,2.8
21,2.9
22,3.1
23,3.3
24,3.4
25,3.6
26,3.8
27,3.9
28,4.1
29,4.2
30,4.4
31,4.5
32,4.7
33,4.8
34,4.9
35,5.0
36,5.2
37,5.3
38,5.4
39,5.5
40,5.6
41,5.6
42,5.7
43,5.8
44,5.8
45,5.9
46,5.9
47,6.0
48,6.0
49,6.0
50,6.0
51,6.0
52,6.0
53,6.0
54,6.0
55,6.0
56,5.9
57,5.9
58,5.8
59,5.8
60,5.7
61,5.6
62,5.6
63,5.5
64,5.4
65,5.3
66,5.2
67,5.1
68,5.1
69,5.0
70,4.9
71,4.8
72,4.7
73,4.6
74,4.5
75,4.4
76,4.3
77,4.3
78,4.2
79,4.1
80,4.1
81,4.0
82,4.0
83,3.9
84,3.9
85,3.9
86,3.9
87,3.9
88,3.9
89,3.9
90,4.0
91,4.0
92,4.1
93,4.2
94,4.3
95,4.4
96,4.5
97,4.6
98,4.8
99,4.9
100,5.1
101,5.3
102,5.5
103,5.7
104,6.0
105,6.2
106,6.5
107,6.7
108,7.0
109,7.3
110,7.7
111,8.0
112,8.3
113,8.7
114,9.0
115,9.4
116,9.8
117,10.2
118,10.6
119,11.0
120,11.4
121,11.8
122,12.2
123,12.7
124,13.1
125,13.5
126,14.0
127,14.4
128,14.8
129,15.2
130,15.7
131,16.1
132,16.5
133,16.9
134,17.3
135,17.7
136,18.1
137,18.4
138,18.8
139,19.2
140,19.5
141,19.8
142,20.1
143,20.4
144,20.7
145,20.9
146,21.2
147,21.4
148,21.6
149,21.7
150,21.9
151,22.0
152,22.2
153,22.2
154,22.3
155,22.4
156,22.4
157,22.4
158,22.4
159,22.3
160,22.3
161,22.2
162,22.1
163,21.9
164,21.8
165,21.6
166,21.4
167,21.2
168,21.0
169,20.8
170,20.5
171,20.2
172,19.9
173,19.6
174,19.3
175,18.9
176,18.6
177,18.2
178,17.9
179,17.5
180,17.1
181,16.7
182,16.3
183,15.9
184,15.5
185,15.2
186,14.8
187,14.4
188,14.0
189,13.6
190,13.2
191,12.9
192,12.5
