Time_s,TrueAngle,TrueAngVel,MeasAngle,EstAngle,EstAngVel,AngleErr,AngVelErr
0.0000,0.785398,0.000000,0.743044,0.735695,-0.064751,-0.049703,-0.064751
0.0100,0.785398,-0.069367,0.682057,0.707309,-0.151984,-0.078089,-0.082616
0.0200,0.784704,-0.138665,0.800663,0.742873,-0.135888,-0.041831,0.002777
0.0300,0.783318,-0.207845,0.716752,0.733067,-0.231796,-0.050251,-0.023951
0.0400,0.781239,-0.276860,0.738333,0.733192,-0.286070,-0.048048,-0.009210
0.0500,0.778471,-0.345661,0.621154,0.695874,-0.531633,-0.082597,-0.185972
0.0600,0.775014,-0.414201,0.847143,0.739744,-0.319158,-0.035270,0.095042
0.0700,0.770872,-0.482430,0.845363,0.770743,-0.189069,-0.000129,0.293360
0.0800,0.766048,-0.550300,0.817332,0.784099,-0.169835,0.018051,0.380464
0.0900,0.760545,-0.617761,0.748178,0.771639,-0.299717,0.011094,0.318044
0.1000,0.754367,-0.684765,0.922087,0.816822,-0.102193,0.062455,0.582572
0.1100,0.747520,-0.751262,0.777871,0.803922,-0.237223,0.056402,0.514039
0.1200,0.740007,-0.817202,0.764811,0.790083,-0.367105,0.050076,0.450097
0.1300,0.731835,-0.882532,0.758531,0.777743,-0.479912,0.045908,0.402621
0.1400,0.723010,-0.947204,0.847310,0.795971,-0.436603,0.072961,0.510601
0.1500,0.713538,-1.011164,0.731314,0.773014,-0.593477,0.059477,0.417687
0.1600,0.703426,-1.074360,0.877535,0.800999,-0.507348,0.097573,0.567013
0.1700,0.692682,-1.136741,0.641382,0.748654,-0.785409,0.055971,0.351332
0.1800,0.681315,-1.198251,0.885650,0.784942,-0.662846,0.103627,0.535404
0.1900,0.669332,-1.258837,0.726596,0.762608,-0.796728,0.093276,0.462109
0.2000,0.656744,-1.318446,0.675072,0.730557,-0.961018,0.073813,0.357428
0.2100,0.643560,-1.377022,0.749810,0.729656,-0.991230,0.086097,0.385792
0.2200,0.629789,-1.434509,0.821003,0.750213,-0.938592,0.120424,0.495917
0.2300,0.615444,-1.490853,0.937972,0.799993,-0.782387,0.184549,0.708466
0.2400,0.600536,-1.545997,0.688639,0.761174,-0.965961,0.160638,0.580037
0.2500,0.585076,-1.599886,0.530196,0.685400,-1.270913,0.100324,0.328973
0.2600,0.569077,-1.652463,0.455804,0.608032,-1.560113,0.038955,0.092351
0.2700,0.552552,-1.703673,0.570220,0.585822,-1.637482,0.033270,0.066191
0.2800,0.535516,-1.753458,0.589350,0.575358,-1.669981,0.039843,0.083477
0.2900,0.517981,-1.801763,0.539949,0.553111,-1.740236,0.035130,0.061527
0.3000,0.499963,-1.848533,0.480373,0.519328,-1.843924,0.019364,0.004609
0.3100,0.481478,-1.893713,0.537412,0.511685,-1.855783,0.030207,0.037931
0.3200,0.462541,-1.937249,0.314729,0.440465,-2.070222,-0.022076,-0.132974
0.3300,0.443168,-1.979086,0.356203,0.401024,-2.169033,-0.042145,-0.189947
0.3400,0.423378,-2.019173,0.516224,0.419644,-2.079759,-0.003733,-0.060586
0.3500,0.403186,-2.057457,0.429335,0.407815,-2.090076,0.004629,-0.032619
0.3600,0.382611,-2.093889,0.422947,0.397502,-2.094692,0.014891,-0.000803
0.3700,0.361672,-2.128420,0.451213,0.398473,-2.064594,0.036801,0.063826
0.3800,0.340388,-2.161004,0.295924,0.353803,-2.172236,0.013415,-0.011232
0.3900,0.318778,-2.191594,0.245229,0.306625,-2.279269,-0.012153,-0.087676
0.4000,0.296862,-2.220147,0.382859,0.312835,-2.221655,0.015972,-0.001508
0.4100,0.274661,-2.246623,0.278730,0.287139,-2.259733,0.012478,-0.013110
0.4200,0.252194,-2.270983,0.229941,0.254422,-2.314437,0.002227,-0.043454
0.4300,0.229485,-2.293191,0.203996,0.223303,-2.359643,-0.006182,-0.066452
0.4400,0.206553,-2.313213,0.183626,0.195009,-2.392365,-0.011544,-0.079151
0.4500,0.183421,-2.331019,0.089640,0.147304,-2.476170,-0.036116,-0.145150
0.4600,0.160110,-2.346581,0.144792,0.129036,-2.469857,-0.031075,-0.123276
0.4700,0.136645,-2.359874,0.129463,0.111666,-2.459544,-0.024978,-0.099669
0.4800,0.113046,-2.370878,-0.017052,0.056711,-2.552359,-0.056335,-0.181482
0.4900,0.089337,-2.379573,0.148459,0.065367,-2.460874,-0.023970,-0.081301
0.5000,0.065541,-2.385946,0.120854,0.064095,-2.400594,-0.001447,-0.014649
0.5100,0.041682,-2.389985,0.023042,0.035124,-2.418086,-0.006558,-0.028101
0.5200,0.017782,-2.391683,-0.028604,-0.000572,-2.450551,-0.018354,-0.058869
0.5300,-0.006135,-2.391035,0.124031,0.018324,-2.329969,0.024459,0.061066
0.5400,-0.030045,-2.388042,-0.116678,-0.037480,-2.417573,-0.007435,-0.029531
0.5500,-0.053926,-2.382707,-0.094723,-0.071276,-2.437484,-0.017350,-0.054776
0.5600,-0.077753,-2.375037,-0.029726,-0.076477,-2.376376,0.001276,-0.001339
0.5700,-0.101503,-2.365042,-0.028299,-0.079320,-2.310265,0.022183,0.054777
0.5800,-0.125153,-2.352737,-0.235735,-0.141181,-2.404118,-0.016028,-0.051381
0.5900,-0.148681,-2.338139,-0.204180,-0.176546,-2.418213,-0.027866,-0.080074
0.6000,-0.172062,-2.321268,-0.306531,-0.231478,-2.480690,-0.059416,-0.159422
0.6100,-0.195275,-2.302151,-0.188777,-0.236668,-2.403394,-0.041393,-0.101243
0.6200,-0.218296,-2.280814,-0.311932,-0.275587,-2.417620,-0.057290,-0.136806
0.6300,-0.241105,-2.257288,-0.277256,-0.293224,-2.371122,-0.052120,-0.113834
0.6400,-0.263677,-2.231607,-0.413606,-0.345016,-2.414976,-0.081339,-0.183369
0.6500,-0.285993,-2.203807,-0.244760,-0.333032,-2.283491,-0.047039,-0.079684
0.6600,-0.308032,-2.173928,-0.268100,-0.330377,-2.181564,-0.022346,-0.007635
0.6700,-0.329771,-2.142012,-0.387278,-0.362382,-2.174539,-0.032611,-0.032527
0.6800,-0.351191,-2.108103,-0.279372,-0.353709,-2.057105,-0.002518,0.050998
0.6900,-0.372272,-2.072247,-0.301062,-0.353020,-1.964874,0.019252,0.107372
0.7000,-0.392994,-2.034492,-0.461897,-0.398575,-1.997401,-0.005581,0.037091
