Time_s,TruePos,TrueVel,MeasPos,EstPos,EstVel,PosVar,VelVar
0.00,0.0000,1.0000,-0.2851,-0.2290,-0.0225,0.200787,1.002126
0.10,0.1000,1.0000,-0.7530,-0.4782,-0.1542,0.118351,0.981846
0.20,0.2000,1.0000,0.4708,-0.1308,0.2340,0.094061,0.926913
0.30,0.3000,1.0000,-0.2094,-0.1429,0.1826,0.087008,0.839452
0.40,0.4000,1.0000,0.3582,0.0411,0.4490,0.085790,0.733606
0.50,0.5000,1.0000,0.5375,0.2410,0.6996,0.085833,0.626348
0.60,0.6000,1.0000,0.5205,0.3826,0.8106,0.085459,0.529585
0.70,0.7000,1.0000,0.1943,0.3728,0.6782,0.084333,0.448377
0.80,0.8000,1.0000,1.7646,0.8781,1.2730,0.082620,0.383005
0.90,0.9000,1.0000,1.7317,1.2395,1.5695,0.080584,0.331510
1.00,1.0000,1.0000,0.6259,1.1547,1.2835,0.078444,0.291321
1.10,1.1000,1.0000,1.1938,1.2558,1.2533,0.076348,0.260018
1.20,1.2000,1.0000,0.2827,1.0543,0.9116,0.074382,0.235590
1.30,1.3000,1.0000,1.2866,1.1864,0.9522,0.072589,0.216452
1.40,1.4000,1.0000,1.2844,1.2824,0.9529,0.070985,0.201389
1.50,1.5000,1.0000,1.4401,1.3951,0.9686,0.069571,0.189477
1.60,1.6000,1.0000,1.8515,1.5902,1.0542,0.068335,0.180016
1.70,1.7000,1.0000,1.4314,1.6246,0.9943,0.067266,0.172473
1.80,1.8000,1.0000,2.1986,1.8500,1.0973,0.066346,0.166441
1.90,1.9000,1.0000,1.8798,1.9387,1.0806,0.065560,0.161603
2.00,2.0000,1.0000,1.4664,1.8961,0.9629,0.064891,0.157717
2.10,2.1000,1.0000,2.1339,2.0288,0.9908,0.064324,0.154591
2.20,2.2000,1.0000,2.2884,2.1689,1.0218,0.063846,0.152073
2.30,2.3000,1.0000,2.6837,2.3758,1.1000,0.063445,0.150045
2.40,2.4000,1.0000,2.5628,2.5052,1.1144,0.063109,0.148412
2.50,2.5000,1.0000,2.8959,2.6869,1.1658,0.062829,0.147096
2.60,2.6000,1.0000,2.4771,2.7217,1.1064,0.062596,0.146037
2.70,2.7000,1.0000,3.0758,2.8931,1.1503,0.062403,0.145185
2.80,2.8000,1.0000,2.9096,2.9836,1.1327,0.062244,0.144500
2.90,2.9000,1.0000,3.0311,3.0806,1.1209,0.062113,0.143950
3.00,3.0000,1.0000,3.4395,3.2539,1.1647,0.062006,0.143509
3.10,3.1000,1.0000,3.5597,3.4173,1.1981,0.061918,0.143156
3.20,3.2000,1.0000,3.4025,3.5038,1.1744,0.061846,0.142874
3.30,3.3000,1.0000,2.9459,3.4543,1.0559,0.061788,0.142648
3.40,3.4000,1.0000,3.6367,3.5789,1.0694,0.061740,0.142468
3.50,3.5000,1.0000,3.7446,3.7003,1.0796,0.061702,0.142324
3.60,3.6000,1.0000,3.5360,3.7411,1.0321,0.061671,0.142210
3.70,3.7000,1.0000,3.0710,3.6536,0.8973,0.061646,0.142119
3.80,3.8000,1.0000,3.7683,3.7495,0.9016,0.061626,0.142046
3.90,3.9000,1.0000,3.9242,3.8605,0.9163,0.061610,0.141989
4.00,4.0000,1.0000,4.1541,4.0019,0.9515,0.061597,0.141944
4.10,4.1000,1.0000,4.1075,4.0996,0.9533,0.061586,0.141908
4.20,4.2000,1.0000,3.5188,4.0284,0.8357,0.061578,0.141879
4.30,4.3000,1.0000,4.1314,4.1168,0.8391,0.061571,0.141857
4.40,4.4000,1.0000,3.9058,4.1281,0.7878,0.061566,0.141839
4.50,4.5000,1.0000,5.4077,4.5025,0.9965,0.061562,0.141825
4.60,4.6000,1.0000,4.7613,4.6414,1.0242,0.061559,0.141814
4.70,4.7000,1.0000,4.8128,4.7608,1.0361,0.061556,0.141806
4.80,4.8000,1.0000,4.6544,4.8127,0.9997,0.061554,0.141799
4.90,4.9000,1.0000,4.4939,4.8096,0.9269,0.061552,0.141794
5.00,5.0000,1.0000,4.4721,4.7964,0.8522,0.061551,0.141789
5.10,5.1000,1.0000,4.8926,4.8843,0.8541,0.061550,0.141786
5.20,5.2000,1.0000,4.8371,4.9371,0.8311,0.061549,0.141784
5.30,5.3000,1.0000,6.1398,5.2958,1.0256,0.061548,0.141782
5.40,5.4000,1.0000,5.3745,5.3925,1.0214,0.061548,0.141780
5.50,5.5000,1.0000,5.7775,5.5643,1.0705,0.061548,0.141779
5.60,5.6000,1.0000,4.7720,5.4499,0.9144,0.061547,0.141778
5.70,5.7000,1.0000,5.9545,5.6431,0.9861,0.061547,0.141777
5.80,5.8000,1.0000,5.3956,5.6565,0.9260,0.061547,0.141777
5.90,5.9000,1.0000,6.2823,5.8804,1.0186,0.061547,0.141776
6.00,6.0000,1.0000,6.8178,6.1879,1.1637,0.061547,0.141776
6.10,6.1000,1.0000,6.0907,6.2517,1.1266,0.061546,0.141775
6.20,6.2000,1.0000,6.1402,6.3092,1.0877,0.061546,0.141775
6.30,6.3000,1.0000,5.6464,6.2280,0.9537,0.061546,0.141775
6.40,6.4000,1.0000,6.4952,6.3657,0.9835,0.061546,0.141775
6.50,6.5000,1.0000,6.1632,6.3900,0.9313,0.061546,0.141775
6.60,6.6000,1.0000,6.5505,6.4997,0.9430,0.061546,0.141775
6.70,6.7000,1.0000,6.5465,6.5823,0.9348,0.061546,0.141775
6.80,6.8000,1.0000,6.4806,6.6277,0.9009,0.061546,0.141775
6.90,6.9000,1.0000,7.0479,6.7991,0.9582,0.061546,0.141775
7.00,7.0000,1.0000,6.6110,6.8250,0.9089,0.061546,0.141775
7.10,7.1000,1.0000,6.8832,6.9078,0.9032,0.061546,0.141775
7.20,7.2000,1.0000,7.1789,7.0427,0.9346,0.061546,0.141775
7.30,7.3000,1.0000,6.6328,7.0122,0.8472,0.061546,0.141775
7.40,7.4000,1.0000,7.3071,7.1487,0.8837,0.061546,0.141775
7.50,7.5000,1.0000,6.9424,7.1645,0.8325,0.061546,0.141774
7.60,7.6000,1.0000,7.1759,7.2301,0.8201,0.061546,0.141774
7.70,7.7000,1.0000,6.9561,7.2244,0.7582,0.061546,0.141774
7.80,7.8000,1.0000,8.3262,7.5528,0.9364,0.061546,0.141774
7.90,7.9000,1.0000,8.7347,7.9144,1.1253,0.061546,0.141774
8.00,8.0000,1.0000,7.4679,7.8893,1.0283,0.061546,0.141774
8.10,8.1000,1.0000,7.8468,7.9563,1.0031,0.061546,0.141774
