序号,统一档位,投递顺序,单位路线,地域大类,省份/区域,城市/地点,公司/单位,岗位方向,薪资/福利,投递入口/渠道,单位属性,原始档位,操作建议,备注
1,A档·冲刺线,1,市场化私企,南方重点,广东,惠州,亿纬锂能,BMS/控制算法,18-28万,wecruit.hotjob.cn,市场化/上市民企,A档·冲一冲,头部/高薪/强匹配，先打磨简历和项目表述后重点冲刺。,
2,A档·冲刺线,1,市场化私企,南方重点,广东,深圳,欣旺达动力,BMS/域控,18-28万,sunwoda.com,市场化/上市民企,A档·冲一冲,头部/高薪/强匹配，先打磨简历和项目表述后重点冲刺。,
3,A档·冲刺线,1,市场化私企,南方重点,广东,深圳,比亚迪 (BYD),BMS/电控算法,20-30万,job.byd.com,市场化/上市民企,A档·冲一冲,头部/高薪/强匹配，先打磨简历和项目表述后重点冲刺。,
4,A档·冲刺线,1,市场化私企,中南/华东备选,安徽,合肥,阳光电源,储能EMS/控制,20-35万,sungrowpower.zhiye.com,市场化/上市民企,A档·冲一冲,头部/高薪/强匹配，先打磨简历和项目表述后重点冲刺。,
5,A档·冲刺线,1,市场化私企,全国/待核验,其他/待核验,储能方向,生产一致性工程师,特斯拉上海,,,外企/跨国,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
6,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,E-Next 储能岗位 | 厦门,ABB,,,外企/跨国,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
7,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,EMS算法/储能系统（校招专场） | 厦门,宁德时代新能安,,,市场化/上市民企,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
8,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,R&D电气工程师 | 上海,日立能源,,,外企/跨国,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
9,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,储能解决方案工程师 | 杭州,宁德时代杭州,,,市场化/上市民企,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
10,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,星熠培训生 | 全国,施耐德电气,,,外企/跨国,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
11,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,星熠培训生 | 全国 | 10k+/月,施耐德电气,,,外企/跨国,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
12,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,校招相关岗位 | 北京,西门子能源,,,外企/跨国,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
13,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,比亚迪/特斯拉/车企,7-8月：暑期实习转正通道,,,外企/跨国,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
14,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,生产一致性工程师（储能方向） | 上海,特斯拉,,,外企/跨国,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
15,A档·冲刺线,1,市场化私企,全国/待核验,待补充,,蔚来/小鹏/理想/华为/宁德时代,8月：提前批启动,,,市场化/上市民企,待分类,高薪/平台强/技术匹配，作为冲刺池处理。,
16,G档·央国企稳定线,2,央企国企,南方重点,福建,厦门,EMS算法资深工程师,校招专场 / 储能系统解决方案,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
17,G档·央国企稳定线,2,央企国企,南方重点,福建,厦门,厦门金龙联合汽车(金龙客车),BMS/整车控制,,BOSS直聘/官网,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
18,G档·央国企稳定线,2,央企国企,南方重点,福建,厦门/宁德,厦门钨业(省冶金控股),新能源材料/BMS,,官网校招,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
19,G档·央国企稳定线,2,央企国企,南方重点,福建,厦门/福州,福建省汽车工业集团(金龙客车),新能源商用车三电/BMS,,官网校招,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
20,G档·央国企稳定线,2,央企国企,南方重点,福建,宁德,储能BMS系统工程师,18-30k·20薪 / 招10人,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
21,G档·央国企稳定线,2,央企国企,南方重点,福建,宁德/平潭/福州,中国大唐集团福建分公司,风光火储/新能源,,iguopin.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
22,G档·央国企稳定线,2,央企国企,南方重点,福建,广东/福建,中广核新能源,风电/光伏/储能/清洁能源,-,,央企/央企子公司,P2,稳定路线；优先官网/国聘/集团校招平台核验并投递。,央企存量，关注官网+国聘
23,G档·央国企稳定线,2,央企国企,南方重点,福建,徐大堡/漳州/三门/福清,中核集团 CNNC,电气、控制、核工程、仪器,20-30万,cnnc.zhiye.com/xiaoyuan,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
24,G档·央国企稳定线,2,央企国企,南方重点,福建,武汉/福建有协同,中能建储能科技(中储科技),BMS/EMS/PCS储能系统,,北极星招聘,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
25,G档·央国企稳定线,2,央企国企,南方重点,福建,漳州云霄,中核国电漳州能源,核电/抽蓄运行/仪控,,高校就业网,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
26,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,中储粮福建分公司,仓储机电/自动化,,iguopin.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
27,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,中国中检福建分公司,检验检测(电池/新能源),,iguopin.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
28,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,国家电投福建电力,核能/储能/综合智慧能源,,iguopin.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
29,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,星网锐捷(002396),嵌入式/通信电源,,官网校招,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
30,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,福建建工集团,建筑工程/机电,,官网,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
31,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,福建省冶金(控股),钢铁/铝业/新材料,,官网,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
32,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,福建省工业控股集团,工业/制造业/投资,-,官网,地方国企/省市属,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,福建省央国企；省属国企，待确认新能源业务；福建省央国企
33,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,福建省建设投资集团,建设投资/基础设施,-,官网,地方国企/省市属,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,福建省央国企
34,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,福建省投资开发集团(闽投),能源投资/项目开发,,官网,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
35,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,福建省招标采购集团,招标采购/工程咨询,,官网,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
36,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,福建省高速公路集团,机电维护/信息化,,官网,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
37,G档·央国企稳定线,2,央企国企,南方重点,福建,福州,福建能源石化集团,新能源/抽水蓄能/风电/氢能,,fjnhjt.cn 官网校招,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
38,G档·央国企稳定线,2,央企国企,南方重点,福建,福州/厦门,中国移动福建公司,网络/动力/IT,,官网校招,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
39,G档·央国企稳定线,2,央企国企,南方重点,福建,福州/厦门,福建省港口集团,电气自动化/设备管理,,官网,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
40,G档·央国企稳定线,2,央企国企,南方重点,福建,福州/厦门,福建省电子信息集团,电子信息/嵌入式(含星网锐捷),,官网校招,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
41,G档·央国企稳定线,2,央企国企,南方重点,福建,福州/厦门/泉州,中国电信福建公司,电源动力/产数工程师,,官网校招,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
42,G档·央国企稳定线,2,央企国企,南方重点,福建,福州/泉州/石狮/晋江,国家能源集团福建公司,集控/热工/新能源/人工智能,,zhaopin.chnenergy.com.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
43,G档·央国企稳定线,2,央企国企,南方重点,福建,福州/福建沿海,中国三峡集团(福建),海上风电/抽蓄,,zhaopin.ctg.com.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
44,G档·央国企稳定线,2,央企国企,南方重点,福建,福州/罗源,中国华能集团福建分公司,发电/新能源,,iguopin.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
45,G档·央国企稳定线,2,央企国企,南方重点,福建,福州连江/宁德/龙岩/南平,中国华电集团福建分公司,发电运行/自动化/新能源,,iguopin.com 国聘网,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
46,G档·央国企稳定线,2,央企国企,南方重点,福建,福建,南方电网储能(福建),抽水蓄能/新型储能,,zhaopin.csg.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
47,G档·央国企稳定线,2,央企国企,南方重点,福建,福建多地,华润集团(福建),能源/电力,,iguopin.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
48,G档·央国企稳定线,2,央企国企,南方重点,广东,上海/广州,中船集团,新能源/储能/控制,硕士16-26万,中船招聘平台,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
49,G档·央国企稳定线,2,央企国企,南方重点,广东,东莞/深圳,易事特集团(300376),储能EMS/电源(上市),14-22万,官网校招,市场化/上市民企,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
50,G档·央国企稳定线,2,央企国企,南方重点,广东,广东,中国能建（储能广东）,储能系统/BMS/PCS,-,,央企/央企子公司,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,央企存量，关注官网
51,G档·央国企稳定线,2,央企国企,南方重点,广东,广东/广西/云南/贵州/海南,南方电网-省局,电气、自动化、控制,20-30万,zhaopin.csg.cn,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
52,G档·央国企稳定线,2,央企国企,南方重点,广东,广州,夯实科技(广州),BMS软硬件(鹏辉能源系),10-18万(13薪),BOSS直聘搜索,市场化/上市民企,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
53,G档·央国企稳定线,2,央企国企,南方重点,广东,广州,广东能源集团,省属能源国企/火电/新能源/储能,12-20万,campus.51job.com/geg,地方国企/省市属,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,广州新增(发电/储能)
54,G档·央国企稳定线,2,央企国企,南方重点,广东,广州,广东能源集团,新能源/储能/火电,-,,地方国企/省市属,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,省属国企
55,G档·央国企稳定线,2,央企国企,南方重点,广东,广州,广州发展电力集团(600098),发电/新能源/电气自动化(广州市最大发电企业),12-18万,官网校招,地方国企/省市属,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,广州新增(发电/储能)
56,G档·央国企稳定线,2,央企国企,南方重点,广东,广州,广州发展集团(600098),新能源/储能/电力(市属国企),12-18万,官网校招,地方国企/省市属,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,广州新增(发电/储能)
57,G档·央国企稳定线,2,央企国企,南方重点,广东,广州,鹏辉能源(300438),储能电池/BMS(上市),14-22万,官网校招,市场化/上市民企,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,广州新增(发电/储能)
58,G档·央国企稳定线,2,央企国企,南方重点,广东,广州(本部),南方电网储能(600995),抽水蓄能/新型储能(央企控股上市),15-25万,zhaopin.csg.cn,央企/央企子公司,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,广州新增(发电/储能)
59,G档·央国企稳定线,2,央企国企,南方重点,广东,广州/南宁,南网储能（南方电网）,储能调度/电化学储能/EMS控制,-,,央企/央企子公司,P1,稳定路线；优先官网/国聘/集团校招平台核验并投递。,央企存量，关注南网招聘官网
60,G档·央国企稳定线,2,央企国企,南方重点,广东,成都/广州,东方电气,氢能/储能控制,15-24万,东方电气平台,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
61,G档·央国企稳定线,2,央企国企,南方重点,广东,深圳,东方日升储能(深圳),储能系统/BMS(上市300118),16-28万,时代储能网,市场化/上市民企,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,深圳新增(储能/BMS)
62,G档·央国企稳定线,2,央企国企,南方重点,广东,深圳,深南电(储能EMS),储能EMS专业工程师(国企背景),15-25万,北极星储能招聘,地方国企/省市属,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,深圳新增(储能/BMS)
63,G档·央国企稳定线,2,央企国企,南方重点,广东,深圳,深圳能源集团,国企/电气/自动化/控制工程/储能(2026校招),14-22万,官网校招,地方国企/省市属,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,深圳新增(储能/BMS)
64,G档·央国企稳定线,2,央企国企,南方重点,广东,深圳/广东,中广核集团,新能源/储能/控制,硕士15-25万,cgnpc.iguopin.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
65,G档·央国企稳定线,2,央企国企,南方重点,浙江,杭州,浙江艾罗能源(688717),控制算法/AI算法/BMS软件(科创板),18-28万+股权,xiaozhao@ solaxpower.com,市场化/上市民企,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
66,G档·央国企稳定线,2,央企国企,南方重点,浙江,浙江,中国电建（储能浙江）,抽水蓄能/电化学储能,-,,央企/央企子公司,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,央企存量，关注官网
67,G档·央国企稳定线,2,央企国企,南方重点,江苏,上海/常州,国家管网储能,电气自控/新能源,硕士14-22万,国家管网招聘平台,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
68,G档·央国企稳定线,2,央企国企,南方重点,江苏,上海/常州/濮阳,国家管网储能,电气自控/新能源,硕士14-22万,管网招聘平台,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
69,G档·央国企稳定线,2,央企国企,南方重点,江苏,合肥/上海/南京,国轩高科,BMS软硬件/算法,18-26万,gotion.zhiye.com,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
70,G档·央国企稳定线,2,央企国企,南方重点,江苏,常州,中创新航,BMS算法,13-18万,calb.com.cn,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
71,G档·央国企稳定线,2,央企国企,南方重点,江苏,常州,中创新航(CALB),BMS算法工程师,13-18万(13薪),calb.com.cn,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
72,G档·央国企稳定线,2,央企国企,南方重点,江苏,扬州,中兴派能(688063),储能BMS(中兴系),15-28万,官网校招,市场化/上市民企,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
73,G档·央国企稳定线,2,央企国企,南方重点,江苏,潍坊/苏州,潍柴动力,BMS/SOC/SOH,15-22万,xyzp@weichai.com,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
74,G档·央国企稳定线,2,央企国企,南方重点,江苏,潍坊/苏州,潍柴动力,BMS/SOC/SOH算法,硕士15-22万,xyzp@weichai.com,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
75,G档·央国企稳定线,2,央企国企,南方重点,江苏,苏州,EMS产品工程师,15-30k / 储能电站EMS平台+控制策略,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
76,G档·央国企稳定线,2,央企国企,南方重点,江苏,苏州,资深仿真工程师,猎聘,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
77,G档·央国企稳定线,2,央企国企,南方重点,江苏,苏州,销售工程师-数据中心/风光储/EV,猎聘,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
78,G档·央国企稳定线,2,央企国企,南方重点,江苏,长春/南京,一汽研发总院,新能源/控制,15-25万,zhaopin.faw.com.cn,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
79,G档·央国企稳定线,2,央企国企,南方重点,江苏,长春/南京,中国一汽,新能源研发/算法,硕士15-25万,zhaopin.faw.com.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
80,G档·央国企稳定线,2,央企国企,南方重点,江苏,长春/南京,中国一汽研发总院,新能源/智能控制,15-25万,zhaopin.faw.com.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
