time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC_true,SOC_est,SOC_open,m_H2_cumul_kg,H2_eq_kg
0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.13473220852730938
1,0.0,0.0,0.0,0.0,0.6,0.5995392683347298,0.5999875091273528,0.0,0.13473220852730938
2,0.0,0.0,0.0,0.0,0.6,0.6034907843825176,0.5999745988814136,0.0,0.13473220852730938
3,0.0,0.0,0.0,0.0,0.6,0.6005451307594951,0.5999641381963433,0.0,0.13473220852730938
4,0.0,0.0,0.0,0.0,0.6,0.6019220056442377,0.5999486403829669,0.0,0.13473220852730938
5,0.0,0.0,0.0,0.0,0.6,0.6018410669947051,0.5999388333673723,0.0,0.13473220852730938
6,0.0,0.0,0.0,0.0,0.6,0.5995095568213877,0.5999290095276301,0.0,0.13473220852730938
7,0.0,0.0,0.0,0.0,0.6,0.595466438790025,0.5999172262990979,0.0,0.13473220852730938
8,0.0,0.0,0.0,0.0,0.6,0.5972890882665746,0.5999109066264104,0.0,0.13473220852730938
9,0.0,0.0,0.0,0.0,0.6,0.5998652769814133,0.5999026089350781,0.0,0.13473220852730938
10,0.0,0.0,0.0,0.0,0.6,0.5967248902525927,0.5998940201130656,0.0,0.13473220852730938
11,0.0,0.0,0.0,0.0,0.6,0.5984509300966423,0.5998788377553741,0.0,0.13473220852730938
12,3.75,2.0644593541023664,0.0,2.0644593541023664,0.6,0.5962516715346169,0.5998675390659166,0.0,0.13473220852730938
13,7.5,4.132167888374485,0.0,4.132167888374485,0.5999676658362896,0.5990640860096234,0.5998256059653299,0.0,0.13473220852730938
14,11.25,6.206374782986111,0.0,6.206374782986111,0.5999028931302871,0.6005205277869509,0.599752919352598,0.0,0.13473220852730938
15,15.0,4.673431069958849,0.0,4.673431069958849,0.5998055256163376,0.5993960770194188,0.5996461091683427,0.0,0.13473220852730938
16,15.0,1.0565329218106998,0.0,1.0565329218106998,0.5997322516583157,0.6038874671604333,0.5995633955064659,0.0,0.13473220852730938
17,15.0,1.0565329218106998,0.0,1.0565329218106998,0.5997157101856543,0.5986086093369148,0.5995357804149842,0.0,0.13473220852730938
18,15.0,1.0565329218106998,0.0,1.0565329218106998,0.5996991686898501,0.5965666051974245,0.5995058429610908,0.0,0.13473220852730938
