time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC_true,SOC_est,SOC_open,m_H2_cumul_kg,H2_eq_kg
0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.28270105892538666
1,0.0,0.0,0.0,0.0,0.6,0.5995392683347298,0.5999875091273528,0.0,0.28270105892538666
2,0.0,0.0,0.0,0.0,0.6,0.6034907843825176,0.5999745988814136,0.0,0.28270105892538666
3,0.0,0.0,0.0,0.0,0.6,0.6005451307594951,0.5999641381963433,0.0,0.28270105892538666
4,0.0,0.0,0.0,0.0,0.6,0.6019220056442377,0.5999486403829669,0.0,0.28270105892538666
5,0.0,0.0,0.0,0.0,0.6,0.6018410669947051,0.5999388333673723,0.0,0.28270105892538666
6,0.0,0.0,0.0,0.0,0.6,0.5995095568213877,0.5999290095276301,0.0,0.28270105892538666
7,0.0,0.0,0.0,0.0,0.6,0.595466438790025,0.5999172262990979,0.0,0.28270105892538666
8,0.0,0.0,0.0,0.0,0.6,0.5972890882665746,0.5999109066264104,0.0,0.28270105892538666
9,0.0,0.0,0.0,0.0,0.6,0.5998652769814133,0.5999026089350781,0.0,0.28270105892538666
10,0.0,0.0,0.0,0.0,0.6,0.5967248902525927,0.5998940201130656,0.0,0.28270105892538666
11,0.0,0.0,0.0,0.0,0.6,0.5984509300966423,0.5998788377553741,0.0,0.28270105892538666
12,0.2,0.0,0.0,0.0,0.6,0.5962516715346169,0.5998675390659166,0.0,0.28270105892538666
13,1.7,0.6842785895252247,0.0,0.6842785895252247,0.6,0.599074234388853,0.5998579401290403,0.0,0.28270105892538666
14,5.4,3.216714222222222,0.0,3.216714222222222,0.5999892885060718,0.600562866351279,0.5998393147283827,0.0,0.28270105892538666
15,9.9,5.586021884259259,0.0,5.586021884259259,0.5999388842354252,0.5994833846063377,0.5997794677874303,0.0,0.28270105892538666
16,13.1,6.8118709142851674,0.0,6.8118709142851674,0.5998512709952343,0.6040018717148427,0.5996824148433845,0.0,0.28270105892538666
17,16.9,10.54630087926764,0.0,10.54630087926764,0.5997443779265079,0.598697822587324,0.599564448155838,0.0,0.28270105892538666
18,21.7,14.280646761297824,0.0,14.280646761297824,0.5995786340653199,0.5965674471559115,0.5993853083365608,0.0,0.28270105892538666
19,26.0,11.648240245389418,0.0,11.648240245389418,0.59935386089744,0.5940772971715419,0.599148843880917,0.0,0.28270105892538666
20,27.5,5.800349663256361,0.0,5.800349663256361,0.5991707119173287,0.5980881980384707,0.5989582731953861,0.0,0.28270105892538666
21,28.1,3.5876350518023172,0.0,3.5876350518023172,0.5990797233575264,0.5991902085600743,0.598854122228417,0.0,0.28270105892538666
22,28.3,3.4344777719288233,0.0,3.4344777719288233,0.5990234943051634,0.5984047006938155,0.5987871033101719,0.0,0.28270105892538666
23,28.8,3.6887863703703765,0.0,3.6887863703703765,0.5989696687174421,0.5971638069131969,0.5987262736168683,0.0,0.28270105892538666
24,29.1,5.977772246399176,0.0,5.977772246399176,0.5989118514490757,0.6007994317220569,0.5986586247895324,0.0,0.28270105892538666
25,30.8,7.943558687090375,0.0,7.943558687090375,0.5988180709978574,0.5954387535762266,0.5985527787319542,0.0,0.28270105892538666
26,31.9,9.275442074397965,0.0,9.275442074397965,0.5986933518495082,0.5968337911566765,0.5984160482392455,0.0,0.28270105892538666
27,34.1,13.0356745545458,0.0,13.0356745545458,0.5985476419115662,0.5994600683510282,0.5982611075290821,0.0,0.28270105892538666
28,36.6,14.763818452674883,0.0,14.763818452674883,0.5983425491863046,0.6008952228762255,0.5980420398051469,0.0,0.28270105892538666
29,39.1,15.094019535303307,0.0,15.094019535303307,0.5981101011281059,0.5983608073846981,0.5978008117956239,0.0,0.28270105892538666
30,41.3,12.566026937261851,0.0,12.566026937261851,0.5978724178033903,0.6003416162946063,0.5975510971835988,0.0,0.28270105892538666
31,42.5,9.149154747275565,0.0,9.149154747275565,0.5976747401523776,0.5981576590212668,0.5973436394610246,0.0,0.28270105892538666
32,43.3,7.681370098746365,0.0,7.681370098746365,0.5975310089075997,0.595042787886142,0.5971918702578412,0.0,0.28270105892538666
33,43.9,6.964559351489861,0.0,6.964559351489861,0.5974104057598745,0.5998099141378159,0.5970578989828315,0.0,0.28270105892538666
34,44.4,5.636543152263386,0.0,5.636543152263386,0.597301087326671,0.6004209944704607,0.5969376694666323,0.0,0.28270105892538666
35,44.5,3.3642058922992124,0.0,3.3642058922992124,0.5972126601077942,0.5967732666802258,0.5968371265921303,0.0,0.28270105892538666
36,44.2,0.0,0.0,0.0,0.5971599292147621,0.6005720979831106,0.5967722807113052,0.0,0.28270105892538666
37,42.7,0.0,0.0,0.0,0.5971599292147621,0.6018059662656463,0.5967612691169694,0.0,0.28270105892538666
