time,speed_kmh,P_load_kW,P_fc_kW,P_bat_kW,SOC,m_H2_cumul_kg,H2_eq_kg
0,0.0,0.0,0.0,0.0,0.6,0.0,0.2975864553390647
1,0.1,0.0,0.0,0.0,0.6,0.0,0.2975864553390647
2,0.2,0.0,0.0,0.0,0.6,0.0,0.2975864553390647
3,0.3,0.0,0.0,0.0,0.6,0.0,0.2975864553390647
4,0.4,0.0,0.0,0.0,0.6,0.0,0.2975864553390647
5,0.5,0.0437088453551288,0.0,0.0437088453551288,0.6,0.0,0.2975864553390647
6,0.7,0.06119410869151043,0.0,0.06119410869151043,0.5999993159686486,0.0,0.2975864553390647
7,0.8,0.06479332357872276,0.0,0.06479332357872276,0.5999983582910585,0.0,0.2975864553390647
8,0.9,0.07868109722222222,0.0,0.07868109722222222,0.5999973442848259,0.0,0.2975864553390647
9,1.1,0.09617030385992989,0.0,0.09617030385992989,0.5999961129300343,0.0,0.2975864553390647
10,1.2,0.1049158930041152,0.0,0.1049158930041152,0.5999946078595314,0.0,0.2975864553390647
11,1.4,0.12240935101356497,0.0,0.12240935101356497,0.5999929659141745,0.0,0.2975864553390647
12,1.5,0.1311573431069959,0.0,0.1311573431069959,0.5999910501806967,0.0,0.2975864553390647
13,1.7,0.14865616154168576,0.0,0.14865616154168576,0.5999889975317457,0.0,0.2975864553390647
14,1.8,0.1574071111111111,0.0,0.1574071111111111,0.5999866710048539,0.0,0.2975864553390647
15,2.0,0.17491239902453895,0.0,0.17491239902453895,0.5999842075131502,0.0,0.2975864553390647
16,2.1,0.18366686059670778,0.0,0.18366686059670778,0.5999814700362739,0.0,0.2975864553390647
17,2.3,0.21596882169257728,0.0,0.21596882169257728,0.5999785955365262,0.0,0.2975864553390647
18,2.5,0.21869826198369152,0.0,0.21869826198369152,0.5999752154469975,0.0,0.2975864553390647
19,2.6,0.22745980917543052,0.0,0.22745980917543052,0.5999717926347999,0.0,0.2975864553390647
20,2.8,0.2449877710714829,0.0,0.2449877710714829,0.5999682326835934,0.0,0.2975864553390647
21,2.9,0.2537543090039629,0.0,0.2537543090039629,0.5999643983761456,0.0,0.2975864553390647
22,3.1,0.2912259344802622,0.0,0.2912259344802622,0.5999604268483704,0.0,0.2975864553390647
23,3.3,0.28883894495884765,0.0,0.28883894495884765,0.5999558687800509,0.0,0.2975864553390647
24,3.4,0.29761503307422654,0.0,0.29761503307422654,0.5999513480737931,0.0,0.2975864553390647
25,3.6,0.33832170370370374,0.0,0.33832170370370374,0.5999466899923039,0.0,0.2975864553390647
26,3.8,0.33274095046486807,0.0,0.33274095046486807,0.5999413947082205,0.0,0.2975864553390647
27,3.9,0.34152812911522623,0.0,0.34152812911522623,0.5999361867811929,0.0,0.2975864553390647
28,4.1,0.3591097568777626,0.0,0.3591097568777626,0.5999308412997957,0.0,0.2975864553390647
29,4.2,0.3679043292181071,0.0,0.3679043292181071,0.5999252205950143,0.0,0.2975864553390647
30,4.4,0.3855012988873647,0.0,0.3855012988873647,0.5999194622167364,0.0,0.2975864553390647
31,4.5,0.39430381944444437,0.0,0.39430381944444437,0.5999134283684907,0.0,0.2975864553390647
32,4.7,0.4119172400739216,0.0,0.4119172400739216,0.5999072567188943,0.0,0.2975864553390647
33,4.8,0.3898640658436213,0.0,0.3898640658436213,0.5999008093353201,0.0,0.2975864553390647
34,4.9,0.3980350425049535,0.0,0.3980350425049535,0.5998947071810615,0.0,0.2975864553390647
35,5.0,0.4383592440176801,0.0,0.4383592440176801,0.5998884771112163,0.0,0.2975864553390647
36,5.2,0.45600254747751856,0.0,0.45600254747751856,0.5998816157709593,0.0,0.2975864553390647
37,5.3,0.4307497561918915,0.0,0.4307497561918915,0.5998744782178969,0.0,0.2975864553390647
38,5.4,0.43893644444444446,0.0,0.43893644444444446,0.5998677359961844,0.0,0.2975864553390647
39,5.5,0.4471264598574909,0.0,0.4471264598574909,0.5998608656077794,0.0,0.2975864553390647
40,5.6,0.41931163359244,0.0,0.41931163359244,0.5998538669995395,0.0,0.2975864553390647
41,5.6,0.4193116335924402,0.0,0.4193116335924402,0.5998473038290458,0.0,0.2975864553390647
42,5.7,0.46351671862139926,0.0,0.46351671862139926,0.5998407406549108,0.0,0.2975864553390647
43,5.8,0.43442284651729896,0.0,0.43442284651729896,0.599833485440014,0.0,0.2975864553390647
44,5.8,0.4344228465172993,0.0,0.4344228465172993,0.5998266856925345,0.0,0.2975864553390647
45,5.9,0.4419837825979273,0.0,0.4419837825979273,0.5998198859411462,0.0,0.2975864553390647
46,5.9,0.441983782597927,0.0,0.441983782597927,0.5998129678183738,0.0,0.2975864553390647
47,6.0,0.44954835390946485,0.0,0.44954835390946485,0.5998060496915554,0.0,0.2975864553390647
