cycle,method,H2_raw_kg,SOC_end,H2_eq_kg,FC_eff_mean_pct,FC_max_kW,total_energy_kWh,raw_gap_vs_DP_pct,H2_eq_gap_vs_DP_pct
wltc,Rule,0.2831,0.614,0.2513,40.4,25.0,4.01,23.786620026235262,-12.712747481764486
wltc,DP,0.2287,0.574,0.2879,30.3,19.9,4.01,0.0,0.0
wltc,ECMS,0.2292,0.58,0.2747,26.1,26.9,4.01,0.21862702229995534,-4.58492532129211
wltc,MPC_optimized,0.2432,0.576,0.2979,38.9,19.3,4.01,6.340183646698727,3.4734282737061584
nedc,Rule,0.1444,0.621,0.0965,38.0,25.0,1.66,45.85858585858584,-39.00126422250316
nedc,DP,0.099,0.574,0.1582,22.2,15.3,1.66,0.0,0.0
nedc,ECMS,0.1034,0.596,0.1125,23.5,26.9,1.66,4.444444444444451,-28.887484197218715
nedc,MPC_optimized,0.0812,0.574,0.1404,16.5,28.0,1.66,-17.979797979797986,-11.251580278128959
cltc,Rule,0.2074,0.641,0.114,37.0,25.0,2.11,43.23204419889501,-43.50842418235877
cltc,DP,0.1448,0.575,0.2018,19.8,15.3,2.11,0.0,0.0
cltc,ECMS,0.1255,0.591,0.146,17.9,26.9,2.11,-13.32872928176796,-27.65113974231913
cltc,MPC_optimized,0.1042,0.571,0.1702,17.9,23.4,2.11,-28.03867403314918,-15.659068384539154
